date,Lottery_result,year,Num,5year,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,max
2018/7/11,223,2018,134,2,0,1,0,0,1,,,,,,
2018/7/12,205,2018,135,0,0,0,0,0,0,,,,,,
2018/7/13,989,2018,136,3,1,0,1,1,0,,,,,,
2018/7/16,176,2018,137,1,1,0,0,0,0,,,,,,
2018/7/17,877,2018,138,2,1,0,0,0,1,,,,,,
2018/7/18,580,2018,139,2,1,0,0,0,1,,,,,,
2018/7/19,51,2018,140,0,0,0,0,0,0,,,,,,
2018/7/20,115,2018,141,0,0,0,0,0,0,,,,,,
2018/7/23,330,2018,142,1,1,0,0,0,0,,,,,,
2018/7/24,977,2018,143,0,0,0,0,0,0,,,,,,
2018/7/25,778,2018,144,1,0,0,0,1,0,,,,,,
2018/7/26,220,2018,145,1,0,1,0,0,0,,,,,,
2018/7/27,241,2018,146,1,0,0,0,0,1,,,,,,
2018/7/30,96,2018,147,0,0,0,0,0,0,,,,,,
2018/7/31,430,2018,148,2,0,1,0,1,0,,,,,,
2018/8/1,918,2018,149,0,0,0,0,0,0,,,,,,
2018/8/2,644,2018,150,1,0,0,0,0,1,,,,,,
2018/8/3,646,2018,151,1,0,0,0,1,0,,,,,,
2018/8/6,47,2018,152,1,0,1,0,0,0,,,,,,
2018/8/7,260,2018,153,3,0,1,1,1,0,,,,,,
2018/8/8,529,2018,154,1,0,0,0,1,0,,,,,,
2018/8/9,879,2018,155,0,0,0,0,0,0,,,,,,
2018/8/10,890,2018,156,0,0,0,0,0,0,,,,,,
2018/8/13,69,2018,157,0,0,0,0,0,0,,,,,,
2018/8/14,322,2018,158,1,0,1,0,0,0,,,,,,
2018/8/15,505,2018,159,1,1,0,0,0,0,,,,,,
2018/8/16,480,2018,160,2,0,0,1,0,1,,,,,,
2018/8/17,131,2018,161,0,0,0,0,0,0,,,,,,
2018/8/20,203,2018,162,4,0,1,2,0,1,,,,,,
2018/8/21,78,2018,163,2,0,1,0,1,0,,,,,,
2018/8/22,308,2018,164,0,0,0,0,0,0,,,,,,
2018/8/23,371,2018,165,0,0,0,0,0,0,,,,,,
2018/8/24,75,2018,166,1,0,1,0,0,0,,,,,,
2018/8/27,300,2018,167,1,0,1,0,0,0,,,,,,
2018/8/28,650,2018,168,1,0,0,1,0,0,,,,,,
2018/8/29,731,2018,169,3,0,2,0,1,0,,,,,,
2018/8/30,943,2018,170,1,0,0,0,0,1,,,,,,
2018/8/31,271,2018,171,1,0,0,1,0,0,,,,,,
2018/9/3,45,2018,172,0,0,0,0,0,0,,,,,,
2018/9/4,317,2018,173,1,1,0,0,0,0,,,,,,
2018/9/5,488,2018,174,1,0,0,1,0,0,,,,,,
2018/9/6,480,2018,175,1,0,1,0,0,0,,,,,,
2018/9/7,571,2018,176,2,1,0,1,0,0,,,,,,
2018/9/10,635,2018,177,0,0,0,0,0,0,,,,,,
2018/9/11,283,2018,178,3,0,0,2,1,0,,,,,,
2018/9/12,739,2018,179,1,0,0,0,1,0,,,,,,
2018/9/13,704,2018,180,1,0,1,0,0,0,,,,,,
2018/9/14,589,2018,181,0,0,0,0,0,0,,,,,,
2018/9/17,674,2018,182,3,1,0,2,0,0,,,,,,
2018/9/18,960,2018,183,1,0,0,0,0,1,,,,,,
2018/9/19,46,2018,184,0,0,0,0,0,0,,,,,,
2018/9/20,234,2018,185,0,0,0,0,0,0,,,,,,
2018/9/21,681,2018,186,0,0,0,0,0,0,,,,,,
2018/9/24,240,2018,187,1,0,0,0,1,0,,,,,,
2018/9/25,365,2018,188,1,0,0,0,1,0,,,,,,
2018/9/26,763,2018,189,0,0,0,0,0,0,,,,,,
2018/9/27,26,2018,190,0,0,0,0,0,0,,,,,,
2018/9/28,669,2018,191,1,0,1,0,0,0,,,,,,
2018/10/1,942,2018,192,0,0,0,0,0,0,,,,,,
2018/10/2,461,2018,193,4,2,1,0,0,1,,,,,,
2018/10/3,877,2018,194,2,0,0,0,0,2,,,,,,
2018/10/4,449,2018,195,2,0,1,1,0,0,,,,,,
2018/10/5,233,2018,196,3,2,0,0,1,0,,,,,,
2018/10/8,361,2018,197,2,0,0,1,1,0,,,,,,
2018/10/9,368,2018,198,0,0,0,0,0,0,,,,,,
2018/10/10,131,2018,199,0,0,0,0,0,0,,,,,,
2018/10/11,46,2018,200,0,0,0,0,0,0,,,,,,
2018/10/12,46,2018,201,2,0,0,1,0,1,,,,,,
2018/10/15,352,2018,202,2,0,1,1,0,0,,,,,,
2018/10/16,870,2018,203,1,1,0,0,0,0,,,,,,
2018/10/17,271,2018,204,1,0,1,0,0,0,,,,,,
2018/10/18,83,2018,205,1,1,0,0,0,0,,,,,,
2018/10/19,930,2018,206,1,0,0,1,0,0,,,,,,
2018/10/22,98,2018,207,2,0,1,0,0,1,,,,,,
2018/10/23,12,2018,208,2,0,0,1,0,1,,,,,,
2018/10/24,49,2018,209,1,1,0,0,0,0,,,,,,
2018/10/25,594,2018,210,2,0,1,1,0,0,,,,,,
2018/10/26,244,2018,211,0,0,0,0,0,0,,,,,,
2018/10/29,453,2018,212,0,0,0,0,0,0,,,,,,
2018/10/30,546,2018,213,0,0,0,0,0,0,,,,,,
2018/10/31,379,2018,214,1,0,1,0,0,0,,,,,,
2018/11/1,458,2018,215,0,0,0,0,0,0,,,,,,
2018/11/2,115,2018,216,0,0,0,0,0,0,,,,,,
2018/11/5,735,2018,217,2,1,0,0,0,1,,,,,,
2018/11/6,350,2018,218,0,0,0,0,0,0,,,,,,
2018/11/7,142,2018,219,1,0,1,0,0,0,,,,,,
2018/11/8,343,2018,220,1,1,0,0,0,0,,,,,,
2018/11/9,209,2018,221,2,1,0,1,0,0,,,,,,
2018/11/12,132,2018,222,1,0,0,0,0,1,,,,,,
2018/11/13,309,2018,223,3,3,0,0,0,0,,,,,,
2018/11/14,281,2018,224,1,0,0,1,0,0,,,,,,
2018/11/15,105,2018,225,0,0,0,0,0,0,,,,,,
2018/11/16,800,2018,226,4,0,1,1,1,1,,,,,,
2018/11/19,775,2018,227,1,0,0,0,1,0,,,,,,
2018/11/20,476,2018,228,0,0,0,0,0,0,,,,,,
2018/11/21,885,2018,229,3,0,0,1,1,1,,,,,,
2018/11/22,589,2018,230,0,0,0,0,0,0,,,,,,
2018/11/23,275,2018,231,0,0,0,0,0,0,,,,,,
2018/11/26,196,2018,232,1,0,0,0,0,1,,,,,,
2018/11/27,948,2018,233,2,1,0,1,0,0,,,,,,
2018/11/28,987,2018,234,3,3,0,0,0,0,,,,,,
2018/11/29,405,2018,235,0,0,0,0,0,0,,,,,,
2018/11/30,285,2018,236,2,1,0,0,1,0,,,,,,
2018/12/3,313,2018,237,0,0,0,0,0,0,,,,,,
2018/12/4,921,2018,238,0,0,0,0,0,0,,,,,,
2018/12/5,9,2018,239,1,0,0,0,1,0,,,,,,
2018/12/6,295,2018,240,6,1,1,1,3,0,,,,,,
2018/12/7,223,2018,241,1,1,0,0,0,0,,,,,,
2018/12/10,991,2018,242,2,0,1,1,0,0,,,,,,
2018/12/11,656,2018,243,1,1,0,0,0,0,,,,,,
2018/12/12,304,2018,244,1,1,0,0,0,0,,,,,,
2018/12/13,136,2018,245,3,0,0,1,2,0,,,,,,
2018/12/14,922,2018,246,3,0,2,0,1,0,,,,,,
2018/12/17,234,2018,247,2,0,2,0,0,0,,,,,,
2018/12/18,643,2018,248,0,0,0,0,0,0,,,,,,
2018/12/19,871,2018,249,1,0,1,0,0,0,,,,,,
2018/12/20,600,2018,250,1,0,0,0,0,1,,,,,,
2018/12/21,100,2018,251,0,0,0,0,0,0,,,,,,
2018/12/24,329,2018,252,1,0,0,0,0,1,,,,,,
2018/12/25,442,2018,253,0,0,0,0,0,0,,,,,,
2018/12/26,644,2018,254,1,0,1,0,0,0,,,,,,
2018/12/27,80,2018,255,0,0,0,0,0,0,,,,,,
2018/12/28,234,2018,256,1,1,0,0,0,0,,,,,,
2019/1/4,804,2019,257,1,0,0,0,0,1,,,,,,
2019/1/7,755,2019,258,1,0,0,0,1,0,,,,,,
2019/1/8,88,2019,259,0,0,0,0,0,0,,,,,,
2019/1/9,733,2019,260,1,1,0,0,0,0,,,,,,
2019/1/10,654,2019,261,1,0,0,0,1,0,,,,,,
2019/1/11,953,2019,262,1,0,0,0,1,0,,,,,,
2019/1/14,650,2019,263,0,0,0,0,0,0,,,,,,
2019/1/15,608,2019,264,1,0,0,0,0,1,,,,,,
2019/1/16,704,2019,265,3,0,1,0,2,0,,,,,,
2019/1/17,162,2019,266,0,0,0,0,0,0,,,,,,
2019/1/18,616,2019,267,1,0,0,1,0,0,,,,,,
2019/1/21,702,2019,268,0,0,0,0,0,0,,,,,,
2019/1/22,637,2019,269,1,1,0,0,0,0,,,,,,
2019/1/23,249,2019,270,1,0,0,0,1,0,,,,,,
2019/1/24,547,2019,271,3,3,0,0,0,0,,,,,,
2019/1/25,79,2019,272,2,0,0,1,0,1,,,,,,
2019/1/28,647,2019,273,1,0,1,0,0,0,,,,,,
