No,date,day of week,Lottery_result
563,1999/6/23,Wednesday,80
564,1999/6/25,Friday,732
565,1999/6/28,Monday,982
566,1999/6/30,Wednesday,906
567,1999/7/2,Friday,433
568,1999/7/5,Monday,953
569,1999/7/7,Wednesday,49
570,1999/7/9,Friday,587
571,1999/7/12,Monday,798
572,1999/7/14,Wednesday,731
573,1999/7/16,Friday,597
574,1999/7/19,Monday,910
575,1999/7/21,Wednesday,939
576,1999/7/23,Friday,487
577,1999/7/26,Monday,228
578,1999/7/28,Wednesday,398
579,1999/7/30,Friday,588
580,1999/8/2,Monday,385
581,1999/8/4,Wednesday,160
582,1999/8/6,Friday,315
583,1999/8/9,Monday,850
584,1999/8/11,Wednesday,85
585,1999/8/13,Friday,365
586,1999/8/16,Monday,207
587,1999/8/18,Wednesday,569
588,1999/8/20,Friday,652
589,1999/8/23,Monday,485
590,1999/8/25,Wednesday,947
591,1999/8/27,Friday,46
592,1999/8/30,Monday,36
593,1999/9/1,Wednesday,829
594,1999/9/3,Friday,130
595,1999/9/6,Monday,162
596,1999/9/8,Wednesday,193
597,1999/9/10,Friday,429
598,1999/9/13,Monday,306
599,1999/9/15,Wednesday,554
600,1999/9/17,Friday,752
601,1999/9/20,Monday,421
602,1999/9/22,Wednesday,979
603,1999/9/24,Friday,699
604,1999/9/27,Monday,939
605,1999/9/29,Wednesday,30
606,1999/10/1,Friday,638
607,1999/10/4,Monday,405
608,1999/10/6,Wednesday,964
609,1999/10/8,Friday,178
610,1999/10/11,Monday,337
611,1999/10/13,Wednesday,801
612,1999/10/15,Friday,730
613,1999/10/18,Monday,591
614,1999/10/20,Wednesday,369
615,1999/10/22,Friday,142
616,1999/10/25,Monday,475
617,1999/10/27,Wednesday,92
618,1999/10/29,Friday,279
619,1999/11/1,Monday,567
620,1999/11/3,Wednesday,866
621,1999/11/5,Friday,44
622,1999/11/8,Monday,639
623,1999/11/10,Wednesday,308
624,1999/11/12,Friday,675
625,1999/11/15,Monday,546
626,1999/11/17,Wednesday,588
627,1999/11/19,Friday,472
628,1999/11/22,Monday,201
629,1999/11/24,Wednesday,118
630,1999/11/26,Friday,223
631,1999/11/29,Monday,194
632,1999/12/1,Wednesday,182
633,1999/12/3,Friday,446
634,1999/12/6,Monday,382
635,1999/12/8,Wednesday,669
636,1999/12/10,Friday,403
637,1999/12/13,Monday,633
638,1999/12/15,Wednesday,951
639,1999/12/17,Friday,783
640,1999/12/20,Monday,908
641,1999/12/22,Wednesday,636
642,1999/12/24,Friday,433
643,1999/12/27,Monday,364
644,1999/12/29,Wednesday,949
645,2000/1/5,Wednesday,584
646,2000/1/7,Friday,732
647,2000/1/10,Monday,175
648,2000/1/12,Wednesday,44
649,2000/1/14,Friday,282
650,2000/1/17,Monday,969
651,2000/1/19,Wednesday,345
652,2000/1/21,Friday,258
653,2000/1/24,Monday,37
654,2000/1/26,Wednesday,507
655,2000/1/28,Friday,798
656,2000/1/31,Monday,28
657,2000/2/2,Wednesday,959
658,2000/2/4,Friday,553
659,2000/2/7,Monday,649
660,2000/2/9,Wednesday,875
661,2000/2/11,Friday,81
662,2000/2/14,Monday,646
663,2000/2/16,Wednesday,70
664,2000/2/18,Friday,195
665,2000/2/21,Monday,297
666,2000/2/23,Wednesday,277
667,2000/2/25,Friday,943
668,2000/2/28,Monday,157
669,2000/3/1,Wednesday,367
670,2000/3/3,Friday,811
671,2000/3/6,Monday,682
672,2000/3/8,Wednesday,916
673,2000/3/10,Friday,385
674,2000/3/13,Monday,478
675,2000/3/15,Wednesday,944
676,2000/3/17,Friday,830
677,2000/3/20,Monday,68
678,2000/3/22,Wednesday,628
679,2000/3/24,Friday,261
680,2000/3/27,Monday,277
681,2000/3/29,Wednesday,503
682,2000/3/31,Friday,973
683,2000/4/3,Monday,632
684,2000/4/5,Wednesday,715
685,2000/4/7,Friday,947
686,2000/4/10,Monday,790
687,2000/4/12,Wednesday,751
688,2000/4/14,Friday,232
689,2000/4/17,Monday,42
690,2000/4/19,Wednesday,274
691,2000/4/21,Friday,132
692,2000/4/24,Monday,548
693,2000/4/26,Wednesday,94
694,2000/4/28,Friday,900
695,2000/5/1,Monday,797
696,2000/5/3,Wednesday,3
697,2000/5/5,Friday,971
698,2000/5/8,Monday,907
699,2000/5/10,Wednesday,278
700,2000/5/12,Friday,232
701,2000/5/15,Monday,883
702,2000/5/17,Wednesday,993
703,2000/5/19,Friday,424
704,2000/5/22,Monday,869
705,2000/5/24,Wednesday,94
706,2000/5/26,Friday,948
707,2000/5/29,Monday,851
708,2000/5/31,Wednesday,337
709,2000/6/2,Friday,762
710,2000/6/5,Monday,114
711,2000/6/7,Wednesday,755
712,2000/6/9,Friday,428
713,2000/6/12,Monday,620
714,2000/6/14,Wednesday,943
715,2000/6/16,Friday,40
716,2000/6/19,Monday,469
717,2000/6/21,Wednesday,743
718,2000/6/23,Friday,241
719,2000/6/26,Monday,234
720,2000/6/28,Wednesday,217
721,2000/6/30,Friday,889
722,2000/7/3,Monday,214
723,2000/7/5,Wednesday,739
724,2000/7/7,Friday,376
725,2000/7/10,Monday,397
726,2000/7/12,Wednesday,629
727,2000/7/14,Friday,125
728,2000/7/17,Monday,743
729,2000/7/19,Wednesday,189
730,2000/7/21,Friday,974
731,2000/7/24,Monday,808
732,2000/7/26,Wednesday,715
733,2000/7/28,Friday,179
734,2000/7/31,Monday,496
735,2000/8/2,Wednesday,610
736,2000/8/4,Friday,603
737,2000/8/7,Monday,821
738,2000/8/9,Wednesday,65
739,2000/8/11,Friday,918
740,2000/8/14,Monday,602
741,2000/8/16,Wednesday,54
742,2000/8/18,Friday,286
743,2000/8/21,Monday,854
744,2000/8/23,Wednesday,946
745,2000/8/25,Friday,31
746,2000/8/28,Monday,134
747,2000/8/30,Wednesday,831
748,2000/9/1,Friday,617
749,2000/9/4,Monday,920
750,2000/9/6,Wednesday,912
751,2000/9/8,Friday,266
752,2000/9/11,Monday,370
753,2000/9/13,Wednesday,208
754,2000/9/15,Friday,307
755,2000/9/18,Monday,982
756,2000/9/20,Wednesday,386
757,2000/9/22,Friday,375
758,2000/9/25,Monday,88
759,2000/9/27,Wednesday,548
760,2000/9/29,Friday,699
761,2000/10/2,Monday,805
762,2000/10/4,Wednesday,804
763,2000/10/6,Friday,610
764,2000/10/9,Monday,94
