cols,importtance,model_name,model_target
store_赤羽店,0.0004647645867222134,RandomForest,y_weekday
store_大森店,0.000462604303074074,RandomForest,y_weekday
store_羽生店,0.00046189502076459993,RandomForest,y_weekday
store_高島平店,0.00046083535121112506,RandomForest,y_weekday
store_六本木店,0.00045599341765363024,RandomForest,y_weekday
store_東久留米店,0.0004553618315738158,RandomForest,y_weekday
store_磯子店,0.00045400358177587105,RandomForest,y_weekday
store_伊勢崎店,0.0004527654017203571,RandomForest,y_weekday
store_東中野店,0.00045029877861071466,RandomForest,y_weekday
store_海老名店,0.0004463028103634225,RandomForest,y_weekday
store_戸田店,0.0004452282166922057,RandomForest,y_weekday
store_瀬谷店,0.00044415418804947545,RandomForest,y_weekday
store_銀座店,0.0004397339956801042,RandomForest,y_weekday
store_坂戸店,0.0004386256101510035,RandomForest,y_weekday
store_習志野店,0.00043544008360978234,RandomForest,y_weekday
store_足立店,0.00043334819078069166,RandomForest,y_weekday
store_新宿店,0.0004244956643552803,RandomForest,y_weekday
store_佐野店,0.0004220194461750126,RandomForest,y_weekday
store_町田店,0.00042118381450953956,RandomForest,y_weekday
store_鴻巣店,0.00042107869964742644,RandomForest,y_weekday
store_所沢店,0.00042095872636116054,RandomForest,y_weekday
store_泉店,0.00041793253967562947,RandomForest,y_weekday
store_池尻店,0.0004162909235603056,RandomForest,y_weekday
store_稲城店,0.0004142828909485197,RandomForest,y_weekday
store_幸店,0.0004141731206530876,RandomForest,y_weekday
store_港北店,0.00041389966697058696,RandomForest,y_weekday
store_春日部店,0.00041258297899399144,RandomForest,y_weekday
store_八潮店,0.0004119585429396961,RandomForest,y_weekday
store_千葉中央店,0.00040361249546472846,RandomForest,y_weekday
store_川崎店,0.00040160775195816095,RandomForest,y_weekday
store_白井店,0.0003968830002313035,RandomForest,y_weekday
store_武蔵村山店,0.0003958630084479064,RandomForest,y_weekday
store_都筑店,0.00039578953590825973,RandomForest,y_weekday
store_横浜南店,0.00039543667864645353,RandomForest,y_weekday
store_相模原店,0.00039336584073700726,RandomForest,y_weekday
store_駒沢店,0.0003895230773181491,RandomForest,y_weekday
store_佐倉店,0.00038698077614651597,RandomForest,y_weekday
store_新座店,0.00038463257791736575,RandomForest,y_weekday
store_あきる野店,0.00038166658701659713,RandomForest,y_weekday
store_若葉店,0.00037959459133205724,RandomForest,y_weekday
store_大井店,0.00037924480902257017,RandomForest,y_weekday
store_越谷店,0.00037698261672185944,RandomForest,y_weekday
store_小金井店,0.00037653421442516337,RandomForest,y_weekday
store_駒込店,0.00037267026040064296,RandomForest,y_weekday
store_柏店,0.00037168629306444086,RandomForest,y_weekday
store_清瀬店,0.00037062471653079754,RandomForest,y_weekday
store_青山店,0.0003653633526141383,RandomForest,y_weekday
store_小山店,0.0003591081230526276,RandomForest,y_weekday
store_市原店,0.00034997817495186303,RandomForest,y_weekday
store_大和店,0.0003479427920806545,RandomForest,y_weekday
store_厚木店,0.00034735390855701674,RandomForest,y_weekday
store_館林店,0.0003412215619528073,RandomForest,y_weekday
store_谷中店,0.0003410897802854732,RandomForest,y_weekday
store_千葉緑店,0.0003320349309663282,RandomForest,y_weekday
store_栃木店,0.0003306863872525026,RandomForest,y_weekday
store_浦安店,0.00032849252606157744,RandomForest,y_weekday
store_茂原店,0.00032625972822906035,RandomForest,y_weekday
store_秦野店,0.00032244978448784934,RandomForest,y_weekday
store_志木店,0.0003207034567667313,RandomForest,y_weekday
store_武蔵野店,0.000320625482455779,RandomForest,y_weekday
store_守谷店,0.0003204984435527817,RandomForest,y_weekday
store_江東店,0.00031887588002246157,RandomForest,y_weekday
store_神田店,0.0003187697517829307,RandomForest,y_weekday
store_太田店,0.00031765490211827744,RandomForest,y_weekday
store_三浦店,0.0003090226143327581,RandomForest,y_weekday
store_高円寺店,0.00030740379932614736,RandomForest,y_weekday
store_水戸店,0.00030660591235792776,RandomForest,y_weekday
store_南足柄店,0.0003047628938463168,RandomForest,y_weekday
store_富里店,0.0003044122956126681,RandomForest,y_weekday
store_西葛西店,0.0003041318172557658,RandomForest,y_weekday
store_五反田店,0.0003026184143939559,RandomForest,y_weekday
store_蒲田店,0.0002987667010724336,RandomForest,y_weekday
store_本庄店,0.0002812683210773485,RandomForest,y_weekday
store_練馬店,0.00027514779894772845,RandomForest,y_weekday
store_行田店,0.000271572484887425,RandomForest,y_weekday
store_江戸川店,0.0002659933011941427,RandomForest,y_weekday
store_栄店,0.0002617165723022066,RandomForest,y_weekday
store_本郷店,0.00025389590022887785,RandomForest,y_weekday
store_宮前店,0.00025388388154165423,RandomForest,y_weekday
store_君津店,0.00025299201260010277,RandomForest,y_weekday
store_三鷹店,0.0002477449490013136,RandomForest,y_weekday
store_我孫子店,0.00024187603776929968,RandomForest,y_weekday
store_四街道店,0.00023387279437790207,RandomForest,y_weekday
store_高津店,0.00022831125061892427,RandomForest,y_weekday
store_富岡店,0.00022179952198275363,RandomForest,y_weekday
store_船橋店,0.00021763473507936833,RandomForest,y_weekday
store_中原店,0.00021386512503553207,RandomForest,y_weekday
store_池袋店,0.0002134626462734602,RandomForest,y_weekday
store_和光店,0.00017521735662501074,RandomForest,y_weekday
store_草加店,0.00017429148596749666,RandomForest,y_weekday
store_八王子店,0.0001662214238093922,RandomForest,y_weekday
store_戸塚店,0.00016175521594836008,RandomForest,y_weekday
store_青葉店,0.0001418416662042985,RandomForest,y_weekday
store_世田谷店,0.0001251415011954991,RandomForest,y_weekday
store_さいたま南店,7.618305523884617e-05,RandomForest,y_weekday
store_綾瀬店,5.698028088475307e-05,RandomForest,y_weekday
order_weekend,0.4837842342917229,GradientBoosting,y_weekday
order_weekday,0.3567348471815718,GradientBoosting,y_weekday
order,0.024794163545641318,GradientBoosting,y_weekday
delta_avg,0.01437922216431041,GradientBoosting,y_weekday
order_cancel,0.011422001908280067,GradientBoosting,y_weekday
order_time_21,0.009971647599499828,GradientBoosting,y_weekday
order_time_14,0.009645234177376762,GradientBoosting,y_weekday
order_fin,0.009191068469481043,GradientBoosting,y_weekday
order_takeout,0.009098234576815585,GradientBoosting,y_weekday
order_time_12,0.008685334319580757,GradientBoosting,y_weekday
order_delivery,0.008354286427838671,GradientBoosting,y_weekday
order_time_13,0.00833962665772625,GradientBoosting,y_weekday
order_time_11,0.007838120563617542,GradientBoosting,y_weekday
order_time_15,0.007615206477269521,GradientBoosting,y_weekday
order_time_16,0.005842775403591115,GradientBoosting,y_weekday
order_time_18,0.004941733959739097,GradientBoosting,y_weekday
order_time_19,0.00467807925936383,GradientBoosting,y_weekday
order_time_20,0.0030585571866169406,GradientBoosting,y_weekday
order_time_17,0.0023497649051408176,GradientBoosting,y_weekday
store_戸田店,0.0007610345040036572,GradientBoosting,y_weekday
store_東尾久店,0.0007181200636505043,GradientBoosting,y_weekday
store_大田店,0.0006163175509531231,GradientBoosting,y_weekday
store_富津店,0.000518706935544011,GradientBoosting,y_weekday
store_入間店,0.00045581616112553013,GradientBoosting,y_weekday
store_上尾店,0.000427961035594694,GradientBoosting,y_weekday
store_若葉店,0.00042663776928589893,GradientBoosting,y_weekday
store_渋谷店,0.0004163571729147038,GradientBoosting,y_weekday
