cols,importance,model_name,model_target
store_小山店,0.0,tree,y_weekday
store_小平店,0.0,tree,y_weekday
store_小田原店,0.0,tree,y_weekday
store_小金井店,0.0,tree,y_weekday
store_川口店,0.0,tree,y_weekday
store_川崎多摩店,0.0,tree,y_weekday
store_鶴見店,0.0,tree,y_weekday
order_weekend,0.1796806174619585,RandomForest,y_weekday
order_weekday,0.09986239464192738,RandomForest,y_weekday
order,0.05118308779981043,RandomForest,y_weekday
order_delivery,0.04698040129803594,RandomForest,y_weekday
order_fin,0.04602451766004589,RandomForest,y_weekday
order_time_16,0.036724439798194286,RandomForest,y_weekday
order_cancel,0.036456209936388165,RandomForest,y_weekday
order_time_19,0.03627419944524597,RandomForest,y_weekday
order_takeout,0.03603844917661994,RandomForest,y_weekday
delta_avg,0.034692498895175825,RandomForest,y_weekday
order_time_13,0.03447417325905101,RandomForest,y_weekday
order_time_21,0.033991398500576385,RandomForest,y_weekday
order_time_11,0.03397492617978918,RandomForest,y_weekday
order_time_15,0.033929389277478225,RandomForest,y_weekday
order_time_18,0.03373642703247709,RandomForest,y_weekday
order_time_20,0.033570561923710995,RandomForest,y_weekday
order_time_17,0.033320790819073465,RandomForest,y_weekday
order_time_12,0.03313058909326608,RandomForest,y_weekday
order_time_14,0.03264659826094681,RandomForest,y_weekday
store_四街道店,0.0012725950399830013,RandomForest,y_weekday
store_行田店,0.0008701317201558195,RandomForest,y_weekday
store_八千代店,0.0008349905403150759,RandomForest,y_weekday
store_横浜緑店,0.0008069917818893744,RandomForest,y_weekday
store_八潮店,0.0007958369088825205,RandomForest,y_weekday
store_川崎多摩店,0.0007894709925999022,RandomForest,y_weekday
store_武蔵野店,0.0007831128261307433,RandomForest,y_weekday
store_木更津店,0.0007591178503242547,RandomForest,y_weekday
store_町田店,0.000748722773012363,RandomForest,y_weekday
store_春日部店,0.0007451298747210072,RandomForest,y_weekday
store_高津店,0.0007377838712455339,RandomForest,y_weekday
store_太田店,0.0007185466747196369,RandomForest,y_weekday
store_神田店,0.0007040105286611809,RandomForest,y_weekday
store_越谷店,0.0006998617309469083,RandomForest,y_weekday
store_日野店,0.0006976230397099128,RandomForest,y_weekday
store_鶴見店,0.0006798375289950219,RandomForest,y_weekday
store_杉並店,0.0006762973940768238,RandomForest,y_weekday
store_金沢店,0.0006759661718017544,RandomForest,y_weekday
store_自由が丘店,0.0006712417654883781,RandomForest,y_weekday
store_福生店,0.0006705008650103428,RandomForest,y_weekday
store_愛甲店,0.0006673305731802215,RandomForest,y_weekday
store_府中店,0.0006664432342856788,RandomForest,y_weekday
store_港南店,0.0006606645516126988,RandomForest,y_weekday
store_川口店,0.0006601381675799526,RandomForest,y_weekday
store_成城店,0.0006571782866027489,RandomForest,y_weekday
store_松戸店,0.000653907124763015,RandomForest,y_weekday
store_西東京店,0.0006500943685904881,RandomForest,y_weekday
