cols,importance,model_name
store_相模原店,0.00039336584073700726,RandomForest
store_駒沢店,0.0003895230773181491,RandomForest
store_佐倉店,0.00038698077614651597,RandomForest
store_新座店,0.00038463257791736575,RandomForest
store_あきる野店,0.00038166658701659713,RandomForest
store_若葉店,0.00037959459133205724,RandomForest
store_大井店,0.00037924480902257017,RandomForest
store_越谷店,0.00037698261672185944,RandomForest
store_小金井店,0.00037653421442516337,RandomForest
store_駒込店,0.00037267026040064296,RandomForest
store_柏店,0.00037168629306444086,RandomForest
store_清瀬店,0.00037062471653079754,RandomForest
store_青山店,0.0003653633526141383,RandomForest
store_小山店,0.0003591081230526276,RandomForest
store_市原店,0.00034997817495186303,RandomForest
store_大和店,0.0003479427920806545,RandomForest
store_厚木店,0.00034735390855701674,RandomForest
store_館林店,0.0003412215619528073,RandomForest
store_谷中店,0.0003410897802854732,RandomForest
store_千葉緑店,0.0003320349309663282,RandomForest
store_栃木店,0.0003306863872525026,RandomForest
store_浦安店,0.00032849252606157744,RandomForest
store_茂原店,0.00032625972822906035,RandomForest
store_秦野店,0.00032244978448784934,RandomForest
store_志木店,0.0003207034567667313,RandomForest
store_武蔵野店,0.000320625482455779,RandomForest
store_守谷店,0.0003204984435527817,RandomForest
store_江東店,0.00031887588002246157,RandomForest
store_神田店,0.0003187697517829307,RandomForest
store_太田店,0.00031765490211827744,RandomForest
store_三浦店,0.0003090226143327581,RandomForest
store_高円寺店,0.00030740379932614736,RandomForest
store_水戸店,0.00030660591235792776,RandomForest
store_南足柄店,0.0003047628938463168,RandomForest
store_富里店,0.0003044122956126681,RandomForest
store_西葛西店,0.0003041318172557658,RandomForest
store_五反田店,0.0003026184143939559,RandomForest
store_蒲田店,0.0002987667010724336,RandomForest
store_本庄店,0.0002812683210773485,RandomForest
store_練馬店,0.00027514779894772845,RandomForest
store_行田店,0.000271572484887425,RandomForest
store_江戸川店,0.0002659933011941427,RandomForest
store_栄店,0.0002617165723022066,RandomForest
store_本郷店,0.00025389590022887785,RandomForest
store_宮前店,0.00025388388154165423,RandomForest
store_君津店,0.00025299201260010277,RandomForest
store_三鷹店,0.0002477449490013136,RandomForest
store_我孫子店,0.00024187603776929968,RandomForest
store_四街道店,0.00023387279437790207,RandomForest
store_高津店,0.00022831125061892427,RandomForest
store_富岡店,0.00022179952198275363,RandomForest
store_船橋店,0.00021763473507936833,RandomForest
store_中原店,0.00021386512503553207,RandomForest
store_池袋店,0.0002134626462734602,RandomForest
store_和光店,0.00017521735662501074,RandomForest
store_草加店,0.00017429148596749666,RandomForest
store_八王子店,0.0001662214238093922,RandomForest
store_戸塚店,0.00016175521594836008,RandomForest
store_青葉店,0.0001418416662042985,RandomForest
store_世田谷店,0.0001251415011954991,RandomForest
store_さいたま南店,7.618305523884617e-05,RandomForest
store_綾瀬店,5.698028088475307e-05,RandomForest
order_weekend,0.4837842342917229,GradientBoostingClassifier
order_weekday,0.3567348471815718,GradientBoostingClassifier
order,0.024794163545641318,GradientBoostingClassifier
delta_avg,0.01437922216431041,GradientBoostingClassifier
order_cancel,0.011422001908280067,GradientBoostingClassifier
order_time_21,0.009971647599499828,GradientBoostingClassifier
order_time_14,0.009645234177376762,GradientBoostingClassifier
order_fin,0.009191068469481043,GradientBoostingClassifier
order_takeout,0.009098234576815585,GradientBoostingClassifier
order_time_12,0.008685334319580757,GradientBoostingClassifier
order_delivery,0.008354286427838671,GradientBoostingClassifier
order_time_13,0.00833962665772625,GradientBoostingClassifier
order_time_11,0.007838120563617542,GradientBoostingClassifier
order_time_15,0.007615206477269521,GradientBoostingClassifier
order_time_16,0.005842775403591115,GradientBoostingClassifier
order_time_18,0.004941733959739097,GradientBoostingClassifier
order_time_19,0.00467807925936383,GradientBoostingClassifier
order_time_20,0.0030585571866169406,GradientBoostingClassifier
order_time_17,0.0023497649051408176,GradientBoostingClassifier
store_戸田店,0.0007610345040036572,GradientBoostingClassifier
store_東尾久店,0.0007181200636505043,GradientBoostingClassifier
store_大田店,0.0006163175509531231,GradientBoostingClassifier
store_富津店,0.000518706935544011,GradientBoostingClassifier
store_入間店,0.00045581616112553013,GradientBoostingClassifier
store_上尾店,0.000427961035594694,GradientBoostingClassifier
store_若葉店,0.00042663776928589893,GradientBoostingClassifier
store_渋谷店,0.0004163571729147038,GradientBoostingClassifier
store_川崎多摩店,0.0004139287623250443,GradientBoostingClassifier
store_成田店,0.000403240896998081,GradientBoostingClassifier
store_旭店,0.0003967393821268445,GradientBoostingClassifier
store_練馬店,0.0003551178660581215,GradientBoostingClassifier
store_中店,0.000354666638234413,GradientBoostingClassifier
store_北千住店,0.00034973072602944015,GradientBoostingClassifier
store_座間店,0.00034764060433048336,GradientBoostingClassifier
store_浦安店,0.00034083926417814074,GradientBoostingClassifier
store_取手店,0.00033811723961621085,GradientBoostingClassifier
