No,date,day of week,Lottery_result,hundreds_place,tens_place,ones_place
231,2012/11/21,Wednesday,872,8,7,2
232,2012/11/22,Thursday,307,3,0,7
233,2012/11/23,Friday,369,3,6,9
234,2012/11/26,Monday,204,2,0,4
235,2012/11/27,Tuesday,660,6,6,0
236,2012/11/28,Wednesday,195,1,9,5
237,2012/11/29,Thursday,950,9,5,0
238,2012/11/30,Friday,943,9,4,3
239,2012/12/3,Monday,217,2,1,7
240,2012/12/4,Tuesday,798,7,9,8
241,2012/12/5,Wednesday,793,7,9,3
242,2012/12/6,Thursday,931,9,3,1
243,2012/12/7,Friday,167,1,6,7
244,2012/12/10,Monday,540,5,4,0
245,2012/12/11,Tuesday,776,7,7,6
246,2012/12/12,Wednesday,249,2,4,9
247,2012/12/13,Thursday,374,3,7,4
248,2012/12/14,Friday,282,2,8,2
249,2012/12/17,Monday,141,1,4,1
250,2012/12/18,Tuesday,199,1,9,9
251,2012/12/19,Wednesday,36,0,3,6
252,2012/12/20,Thursday,619,6,1,9
253,2012/12/21,Friday,273,2,7,3
254,2012/12/24,Monday,579,5,7,9
255,2012/12/25,Tuesday,296,2,9,6
256,2012/12/26,Wednesday,426,4,2,6
257,2012/12/27,Thursday,836,8,3,6
258,2012/12/28,Friday,889,8,8,9
